event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds
cc2ad11b1f9d818b,UFC Fight Night: Edwards vs. Brady,2025/03/22,"London, England, United Kingdom",265dbd9be8caa7de,lightweight,0,Decision - Unanimous,3,300,3.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",0dfdc94c1da32e20,featherweight,0,Decision - Split,3,300,3.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",061990783b9bdb36,lightweight,0,Decision - Split,3,300,3.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",a857acedb53ee959,heavyweight,0,KO/TKO,2,39,3.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",9d8a37f130db13e5,flyweight,0,KO/TKO,3,136,5.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",dd1df7f5a54fd9fc,featherweight,0,Decision - Unanimous,3,300,3.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",d6c3b730dc9f21a5,welterweight,0,KO/TKO,1,190,3.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",206b8c14546d71f1,flyweight,0,Decision - Unanimous,3,300,3.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",1de799f17556b501,featherweight,0,Decision - Split,3,300,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",8ef7723b6a8b45e1,featherweight,0,KO/TKO,1,255,3.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",b959e2c1d16ff832,bantamweight,0,Decision - Unanimous,3,300,5.0
c50ea21fe9ef478d,UFC Fight Night: Cejudo vs. Song,2025/02/22,"Seattle, Washington, USA",0cdca4c22b8d3ab5,middleweight,0,Decision - Unanimous,3,300,3.0
9766ed20b68c7c33,UFC Fight Night: Kape vs. Almabayev,2025/03/01,"Las Vegas, Nevada, USA",1ada4b9ee5810e0f,women's flyweight,0,Decision - Unanimous,3,300,3.0
