id,name,nick_name,wins,losses,draws,height,weight,reach,stance
7facc9c45d792985,Kaan Ofli,Genghis,12,4,1,170.18,65.77,167.64,Orthodox
b67d6bacc68d4c92,Daniel Santos,Willycat,13,2,0,170.18,65.77,170.18,Orthodox
6ceff86fae4f6b3b,Jason DeLucia,,33,21,1,180.34,86.18,,Southpaw
8d26912cd2aeb366,Jeremy Horn,Gumby,91,22,5,185.42,83.91,187.96,Orthodox
3410cf010558dc8b,Scott Smith,Hands of Steel,18,11,0,182.88,83.91,177.8,Orthodox
e3964ece586e0635,Jacqueline Cavalcanti,,9,1,0,172.72,61.23,177.8,Orthodox
2816ced060a21be3,Nick Hein,Sergeant,14,5,0,167.64,70.31,167.64,Southpaw
d8da10db80131bec,Niko Price,The Hybrid,16,9,0,182.88,77.11,193.04,Orthodox
d71d968dc6ecfdaf,Katsuhisa Fujii,Shamoji,9,18,1,182.88,92.99,,Orthodox
d1e6a6536ee62517,Tyrone Roberts,Native Warrior,43,12,1,175.26,83.91,,Orthodox
1de9ad94de18eeaf,Nicco Montano,,5,3,0,165.1,61.23,165.1,Southpaw
ac5a7400da3a9a41,Elias Garcia,,6,2,0,165.1,56.7,170.18,Southpaw
2f1700b3a4a09bc7,Paul Georgieff,,6,2,0,187.96,77.11,,Orthodox
8f382b3baa954d2a,Jessica Aguilar,Jag,20,8,0,160.02,52.16,160.02,Orthodox
4461d7e47375a895,Tatsuro Taira,,16,1,0,170.18,56.7,177.8,Orthodox
84b3e7d38f2d2ec5,Neil Magny,The Haitian Sensation,29,14,0,190.5,77.11,203.2,Orthodox
92aafa8f4b26269b,Walel Watson,The Gazelle,14,10,0,180.34,61.23,190.5,Orthodox
2804ce8dadab5770,Marcelo Rojo,Pitbull,16,10,0,172.72,65.77,180.34,Orthodox
dbc17725b887860a,Cezar Ferreira,Mutante,13,8,0,185.42,83.91,198.12,Southpaw
7c35f869033901ae,Riki Fukuda,,24,9,0,182.88,83.91,185.42,Southpaw
e6c5908910cc26e4,Lavar Johnson,Big,18,10,0,193.04,108.86,208.28,Orthodox
225def29ecfe0fc1,Carlos Huachin,Perro Malo,10,5,1,162.56,61.23,170.18,Southpaw
ed74afc8b5b47a61,William Macario,Patolino,9,3,0,180.34,77.11,190.5,Orthodox
80dbeb1dd5b53e64,Nam Phan,,21,17,0,167.64,61.23,177.8,Orthodox
8c020156779f7888,Melinda Fabian,,4,4,2,167.64,56.7,167.64,Orthodox
840d2c82ea68b9aa,Ben Nguyen,Ten,16,8,0,165.1,56.7,165.1,Switch
f34312c2ccfa0e00,Spencer Fisher,The King,24,9,0,170.18,70.31,172.72,Southpaw
00a3ff40c4b2cf21,Glaico Franca Moreira,Nego,15,5,0,182.88,70.31,195.58,Orthodox
9d19d9e4aa2662e8,Nicolas Dalby,Danish Dynamite,23,6,1,180.34,77.11,187.96,Orthodox
3a24769a4855040a,Diego Nunes,The Gun,19,7,0,167.64,65.77,170.18,Orthodox
1a49e0670dfaca31,Jim Mullen,,0,2,0,185.42,97.52,,Southpaw
b76c6268dc1d3c05,Danielle Taylor,Dynamite,9,4,0,152.4,52.16,152.4,Orthodox
12f91bfa8f1f723b,Joanne Wood,JoJo,17,8,0,167.64,56.7,165.1,Orthodox
3c241737a6069b9f,Denis Kang,,35,16,2,180.34,83.91,195.58,Orthodox
058e4e08a1ad8aba,Dale Hartt,,6,3,0,177.8,70.31,175.26,Orthodox
683ea28a198936fe,Jay Cucciniello,,8,1,0,170.18,70.31,,Orthodox
